"","Organization","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","Number of Publications"
"89","Havard","ENZYME DELIVERY WITH SUPERCHARGED PROTEINS TO ADDRESS CITRULLINEMIA","NIGMS",8765621,"5F32GM106601-02",5,"F32","GM",106601,2,"",NA,11496724,"ZURIS, JOHN ","Not Applicable","HARVARD UNIVERSITY",NA,2014,53282,NA,NA
"90","Havard","PHOSPHORYLATION AND ACETYLATION OF SECRETED BACTERIAL PROTEINS: A NEW REGULATORY","NIAID",8778792,"1F32AI109850-01A1",1,"F32","AI",109850,1,"A1",NA,11042010,"BOUTTE, CARA CHENEY","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,55094,NA,NA
"91","Havard","INTERROGATION OF FUNCTIONAL ASPECTS OF TRANSCRIPTION AT HETEROCHROMATIC LOCI","NIGMS",8635377,"5F32GM101794-03",5,"F32","GM",101794,3,"",NA,11050343,"CONNOLLY, KEITH MICHAEL","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,55094,NA,NA
"92","Havard","TUFT CELLS IN INTESTINAL HOMEOSTASIS","NIDDK",8648400,"5F32DK098826-02",5,"F32","DK",98826,2,"",NA,7852453,"HOWITT, MICHAEL R","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,55094,NA,NA
"93","Havard","NEURONAL DYNAMICS OF VISUAL ATTENTION AND EYE MOVEMENTS","NEI",8720776,"5F32EY022529-03",5,"F32","EY",22529,3,"",NA,9819531,"MAYO, JOSEPH PATRICK","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,55094,NA,NA
"94","Havard","CHARACTERIZATION OF DISULFIDE-BOND FORMATION IN MYCOBACTERIA","NIGMS",8711095,"5F32GM108443-02",5,"F32","GM",108443,2,"",NA,11108155,"MEEHAN, BRIAN ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,55094,NA,NA
"95","Havard","MOLECULAR PATTERNING AND SPECIFICATION OF THE FOVEA DURING RETINAL DEVELOPMENT.","NEI",8708507,"5F32EY023911-02",5,"F32","EY",23911,2,"",NA,8457305,"MUNDELL, NATHAN A.","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,55094,NA,NA
"96","Havard","MECHANISTIC STUDIES OF THE FUNCTION OF DESMOSTEROL HOMEOSTASIS IN HCV REPLICATION","NIAID",8652834,"5F32AI106178-02",5,"F32","AI",106178,2,"",NA,10907270,"VILLAREAL, VALERIE ANNE AGUSTINO","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,55094,NA,NA
"97","Havard","THE EVOLUTIONARY DYNAMICS OF PLASMID UPTAKE IN PATHOGENIC BACTERIA","NIAID",8695286,"5F32AI102520-05",5,"F32","AI",102520,5,"",NA,11053537,"WEINBERGER, ARIEL ","Not Applicable","HARVARD UNIVERSITY",NA,2014,55094,NA,NA
"98","Havard","STRUCTURAL BASIS FOR SCAP/SREBP INTERACTION","NIGMS",8730192,"5F32GM103005-03",5,"F32","GM",103005,3,"",NA,11184351,"ZIAREK, JOSHUA JAMES","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,55094,NA,NA
"99","Havard","UNCOVERING THE TRANSCRIPTION FACTOR NETWORKS IN EARLY HUMAN CELL SPECIFICATION","NIDDK",8625642,"5F32DK095537-02",5,"F32","DK",95537,2,"",NA,11044469,"TSANKOV, ALEXANDER MINCHEV","Not Applicable","HARVARD UNIVERSITY",NA,2014,56234,NA,NA
"100","Havard","REVEALING IPS ORGANIZATION THROUGH ITS ROLE IN LOCATION AND FEATURE PROCESSING","NEI",8694043,"5F32EY022874-03",5,"F32","EY",22874,3,"",NA,10863233,"BETTENCOURT, KATHERINE ","Not Applicable","HARVARD UNIVERSITY",NA,2014,56978,NA,NA
"101","Havard","MTORC1 REGULATION IN THE LIVER BY METFORMIN; AMPK AND ENERGY STATUS","NIDDK",8638964,"5F32DK095508-03",5,"F32","DK",95508,3,"",NA,11032720,"HOWELL, JESSICA JEAN","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,56978,NA,NA
"102","Havard","QUANTITATIVE AND SPATIAL OPTIMIZATION FOR DESIGNING CANCER THERAPEUTICS","NCI",8719953,"5F32CA168274-03",5,"F32","CA",168274,3,"",NA,11037318,"ROBINSON-MOSHER, AVRAM LEV","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,56978,NA,NA
"103","Havard","ADDRESSING MENTAL HEALTH DISPARITIES IN REFUGEE CHILDRENL A CBPR COLLABORATION","NIMHD",8936178,"3R24MD008057-02S1",3,"R24","MD",8057,2,"S1",NA,8468963,"BETANCOURT, THERESA STICHICK","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,58674,NA,"81"
"104","Havard","SUMMER INTERN PROGRAM (SIP) IN ENVIRONMENTAL HEALTH SCIENCES","NIEHS",8660697,"5R25ES020722-04",5,"R25","ES",20722,4,"",NA,1898632,"WESSLING-RESNICK, MARIANNE ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,58764,NA,"57"
"105","Havard","INTEGRATION AND DYNAMICS OF NEUROMODULATOR ACTION IN THE STRIATUM","NIDA",8644533,"1F32DA035543-01A1",1,"F32","DA",35543,1,"A1",NA,10426007,"CHEN, YAO ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,58946,NA,NA
"106","Havard","THERMOSENSORY ENCODING IN THE DROSOPHILA LARVA","NINDS",8685352,"5F32NS077835-03",5,"F32","NS",77835,3,"",NA,10589560,"KLEIN, MASON JOSEPH","Not Applicable","HARVARD UNIVERSITY",NA,2014,58946,NA,NA
"107","Havard","MITOCHONDRIOMIC BIOMARKERS OF AIR POLLUTION EXPOSURE AND RESPIRATORY FUNCTION DEC","NIEHS",8717018,"1F32ES024068-01",1,"F32","ES",24068,1,"",NA,11334209,"CARMONA, JUAN JOSE","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,59678,NA,NA
"108","Havard","SENSORY PROCESSING OF SOCIAL AND DEFENSIVE CHEMOSIGNALS","NIDCD",8915270,"3R01DC013087-02S1",3,"R01","DC",13087,2,"S1",NA,2275890,"DULAC, CATHERINE G","Not Applicable","HARVARD UNIVERSITY",NA,2014,70000,NA,"34"
"109","Havard","VITAMIN D; CIGARETTE SMOKING; EBV INFECTION AND RISK OF MS PROGRESSION","NINDS",8600331,"5R01NS071082-04",5,"R01","NS",71082,4,"",NA,1899271,"ASCHERIO, ALBERTO ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,72621,NA,"180"
"110","Havard","HARVARD CLINICAL AND TRANSLATIONAL SCIENCE CENTER","NCATS",8915414,"3UL1TR001102-02S1",3,"UL1","TR",1102,2,"S1",NA,1891584,"NADLER, LEE MARSHALL","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,74902,NA,"28"
"111","Havard","HEALTH AND AGING IN AFRICA:  LONGITUDINAL STUDIES OF INDEPTH COMMUNITIES","NIA",8903872,"3P01AG041710-02S1",3,"P01","AG",41710,2,"S1",NA,1887078,"BERKMAN, LISA F","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,80750,NA,"107"
"112","Havard","HERITABILITY OF COMPLEX TRAITS VIA IBD AND IBS IN RELATED AND UNRELATED INDIVIDUA","NHGRI",8599787,"5R03HG006731-02",5,"R03","HG",6731,2,"",NA,8501823,"PRICE, ALKES L","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,80750,NA,"75"
"113","Havard","MODELING ATOMIC STRUCTURE OF THE EMRE MULTIDRUG PUMP TO DESIGN INHIBITOR PEPTIDES","NIAID",8681706,"1R03AI111416-01",1,"R03","AI",111416,1,"",NA,1881416,"KARPLUS, MARTIN ","Not Applicable","HARVARD UNIVERSITY",NA,2014,84500,NA,"61"
"114","Havard","REGULATION OF MITOCHONDRIAL METABOLISM BY SIRT4","NIA",8912115,"3R01AG032375-05S1",3,"R01","AG",32375,5,"S1",NA,9078088,"HAIGIS, MARCIA ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,84750,NA,"46"
"115","Havard","DOPAMINERGIC MODULATION OF BRAIN CIRCUITS THAT CONTROL MOVEMENT","NINDS",8679302,"1K99NS087098-01",1,"K99","NS",87098,1,"",NA,10649345,"TRITSCH, NICOLAS XAVIER","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,85434,NA,"6"
"116","Havard","THE GENETIC ARCHITECTURE OF BREAST CANCER RISK FACTORS AND BREAST CANCER","NCI",8693971,"5R03CA173785-02",5,"R03","CA",173785,2,"",NA,10332140,"LINDSTROEM, SARA ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,85515,NA,NA
"117","Havard","CELLULAR MODELS OF HYPOCRETIN NEURON LOSS IN NARCOLEPSY","NINDS",8685362,"5K99NS083713-02",5,"K99","NS",83713,2,"",NA,9214795,"MERKLE, FLORIAN ","Not Applicable","HARVARD UNIVERSITY",NA,2014,89208,NA,"10"
"118","Havard","INFLUENCE OF GENETIC VARIATION ON MANGANESE NEUROTOXICITY AND PARKINSON'S DISEASE","NIEHS",8752660,"1K99ES024340-01",1,"K99","ES",24340,1,"",NA,11885985,"SEO, YOUNG AH  ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,89316,NA,"7"
"119","Havard","THE DIFFERENTIAL REGULATION OF POLY(ADP-RIBOSE) IN CANCER AND ITS ROLE IN PROTEIN","NCI",8712423,"5K99CA175176-02",5,"K99","CA",175176,2,"",NA,10293885,"KRUKENBERG, KRISTIN ANNE","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,89352,NA,"5"
"120","Havard","ROLE OF SYNONYMOUS CODONS AS GENE REGULATORS IN BACTERIA AND CANCER CELLS","NIGMS",8703730,"5K99GM107113-02",5,"K99","GM",107113,2,"",NA,11220770,"SUBRAMANIAM, ARVIND ","Not Applicable","HARVARD UNIVERSITY",NA,2014,89489,NA,"3"
"121","Havard","SYSTEMIC REGULATION OF ENERGY HOMEOSTASIS USING A DROSOPHILA LEPTIN MODEL","NIDDK",8791179,"1K99DK101605-01A1",1,"K99","DK",101605,1,"A1",NA,10414706,"RAJAN, AKHILA ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,89562,NA,"5"
"122","Havard","NOVEL INTEGRATIVE METHOD TO DETECT BIOMAKERS OF BREAST CANCER RESISTANCE","NLM",8707556,"5K99LM011595-02",5,"K99","LM",11595,2,"",NA,10641231,"NABAVI, SHEIDA ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,89641,NA,"5"
"123","Havard","THE ROLE OF CORTICAL PROJECTION NEURONS SUSCEPTIBLE TO PROGRESSIVE DEGENERATION W","NIA",8679491,"1K99AG047335-01",1,"K99","AG",47335,1,"",NA,8719457,"MAROOF, ASIF MIRZA","Not Applicable","HARVARD UNIVERSITY",NA,2014,89964,NA,"5"
"124","Havard","SCULPTING THE ENTERIC MICROBIOTA WITH CRISPR-CAS SYSTEMS","NIDDK",8751445,"1K99DK102669-01",1,"K99","DK",102669,1,"",NA,11971913,"ESVELT, KEVIN ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,90000,NA,"19"
"125","Havard","STATISTICAL METHODS TO INFER STRUCTURE AND IMPACT OF ANCIENT ADMIXTURE","NIGMS",8750122,"1K99GM111744-01",1,"K99","GM",111744,1,"",NA,10876378,"SANKARARAMAN, SRIRAM ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,90000,NA,"15"
"126","Havard","THE IMPACT OF MICROFINANCE ON HEALTH: EXPERIMENTAL EVIDENCE FROM INDIA","NICHD",8928882,"3R01HD069546-02S1",3,"R01","HD",69546,2,"S1",NA,9836930,"PANDE, ROHINI ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,93257,NA,"0"
"127","Havard","REVERSE CORRELATION MAPPING IN FACE PATCHES","NEI",8927179,"3R01EY016187-09S1",3,"R01","EY",16187,9,"S1",NA,1861166,"LIVINGSTONE, MARGARET S","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,93686,NA,"47"
"128","Havard","MACROPHAGE REGULATION OF THE HEMATOPOIETIC STEM CELL NICHE","NHLBI",8705292,"5K99HL119559-02",5,"K99","HL",119559,2,"",NA,10494463,"HOGGATT, JONATHAN GEORGE","Not Applicable","HARVARD UNIVERSITY",NA,2014,94608,NA,"12"
"129","Havard","MOLECULAR MECHANISMS OF AGE-RELATED SYNAPTIC DISORGANIZATION","NIA",8726274,"5K99AG044444-02",5,"K99","AG",44444,2,"",NA,11378019,"SAMUEL, MELANIE A","Not Applicable","HARVARD UNIVERSITY",NA,2014,97282,NA,"3"
"130","Havard","IN TOTO IMAGE ANALYSIS OF TISSUE MECHANICS DURING VERTEBRATE EAR DEVELOPMENT","NICHD",8668119,"5K25HD071969-02",5,"K25","HD",71969,2,"",NA,10572897,"MOSALIGANTI, KISHORE RAO","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,99028,NA,"9"
"131","Havard","GENETIC DISSECTION OF AUDITORY CIRCUIT ASSEMBLY","NIDCD",8884696,"2R56DC009223-06",2,"R56","DC",9223,6,"",NA,6771596,"GOODRICH, LISA V","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,100000,NA,"25"
"132","Havard","REGENERATING BETA CELLS BY LINEAGE REPROGRAMMING","NIDDK",8717645,"5U01DK089536-05",5,"U01","DK",89536,5,"",NA,1887703,"MELTON, DOUGLAS A","Not Applicable","HARVARD UNIVERSITY",NA,2014,100000,NA,"70"
"133","Havard","DIET AND METABOLIC RISKS: JOINT DRIVERS OF GLOBAL EPIDEMIOLOGIC TRANSITION AND HE","NHLBI",8767566,"1K99HL124321-01",1,"K99","HL",124321,1,"",NA,11038675,"SINGH, GITANJALI ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,101159,NA,"20"
"134","Havard","RESEARCH TRAINING IN VETERINARY & COMPARATIVE PATHOLOGY","OD",8695515,"5T32OD011064-38",5,"T32","OD",11064,38,"",NA,1863826,"SPEALMAN, ROGER D","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,101905,NA,"36"
"135","Havard","METAL MIXTURES; CHILDREN'S COGNITION; AND SENSITIVE DEVELOPMENTAL WINDOWS","NIEHS",8730655,"5K99ES022986-02",5,"K99","ES",22986,2,"",NA,10812078,"CLAUS HENN, BIRGIT GUNHILD","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,102242,NA,"0"
"136","Havard","MECHANISMS OF EXTRACELLULAR MATRIX MEDIATED DRUG RESISTANCE","NCI",8712425,"5K99CA180221-02",5,"K99","CA",180221,2,"",NA,11580191,"MURANEN, TARU ELIISA","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,102426,NA,"20"
"137","Havard","THE USE OF NOVEL IMPLANTABLE CANCER VACCINES FOR THE TREATMENT OF ORAL CANCER","NIDCR",8701276,"5K99DE023577-02",5,"K99","DE",23577,2,"",NA,11424226,"YOUNG, SIMON ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,106634,NA,NA
"138","Havard","NHLBI SUMMER TRAINING EXPERIENCE TO INCREASE DIVERSITY IN HEALTH-RELATED RESEARCH","NHLBI",8616583,"1R25HL121029-01",1,"R25","HL",121029,1,"",NA,1894634,"THOMAS, SHEILA M","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,107077,NA,"10"
"139","Havard","DETERMINANTS OF MULTISITE MUSCULOSKELETAL PAIN AMONG CONSTRUCTION WORKERS","NIOSH",8727551,"5K01OH010485-02",5,"K01","OH",10485,2,"",NA,9638268,"CABAN-MARTINEZ, ALBERTO JUAN","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,107410,NA,"20"
"140","Havard","FUNCTIONAL ANALYSIS OF NOVEL SIGNALING PEPTIDES DURING EMBRYOGENESIS","NICHD",8712230,"5K99HD076935-02",5,"K99","HD",76935,2,"",NA,11565968,"PAULI, ANDREA ","Not Applicable","HARVARD UNIVERSITY",NA,2014,114866,NA,"13"
"141","Havard","NEURAL CIRCUIT MECHANISMS OF ODOR LOCALIZATION IN MICE","NIDCD",8678899,"5K99DC013305-02",5,"K99","DC",13305,2,"",NA,8842712,"GIRE, DAVID HENRY","Not Applicable","HARVARD UNIVERSITY",NA,2014,114890,NA,"4"
"142","Havard","TBONE AND PHOSPHONATES IN MINERALIZATION DURING AGING","NIA",8678273,"1K99AG047255-01",1,"K99","AG",47255,1,"",NA,10906289,"PETERSON, TIMOTHY ","Not Applicable","HARVARD UNIVERSITY",NA,2014,115312,NA,NA
"143","Havard","COMPARTMENT-SPECIFIC SIGNALING OF STRIATAL OPIOID PEPTIDES IN REWARD-GUIDED BEHAV","NIDA",8600669,"5K99DA034648-02",5,"K99","DA",34648,2,"",NA,9176382,"BANGHART, MATTHEW RYAN","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,121505,NA,"6"
"144","Havard","DATA-DRIVEN IDENTIFICATION OF ENVIRONMENTAL FACTORS IN CARDIOVASCULAR DISEASE","NIEHS",8617098,"1K99ES023504-01",1,"K99","ES",23504,1,"",NA,9643320,"PATEL, CHIRAG JAGDISH","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,122470,NA,"36"
"145","Havard","INTEGRATIVE GENOMIC ANALYSIS ON THE ROLE OF LNCRNAS IN THE DNA DAMAGE RESPONSE TO","NIEHS",8719104,"5K25ES022984-02",5,"K25","ES",22984,2,"",NA,11419324,"KELLEY, DAVID ","Not Applicable","HARVARD UNIVERSITY",NA,2014,123012,NA,"8"
"146","Havard","AIR POLLUTION AND PARKINSON DISEASE: A GIS-BASED APPROACH","NIEHS",8660691,"5K01ES019183-05",5,"K01","ES",19183,5,"",NA,10194014,"PALACIOS, NATALIA ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,123033,NA,"10"
"147","Havard","ARCHIVING THE OCCUPATIONAL COHORTS IN THE WORK; FAMILY; AND HEALTH NETWORK","NIA",8738571,"5R03AG046393-02",5,"R03","AG",46393,2,"",NA,1887078,"BERKMAN, LISA F","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,126364,NA,"107"
"148","Havard","EPIDEMIOLOGY AND MODELING OF THE POPULATION DYNAMICS OF INFLUENZA AND ANTIMICROBI","NIAID",8685118,"5K01AI101010-03",5,"K01","AI",101010,3,"",NA,11115643,"GOLDSTEIN, EDWARD ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,126873,NA,"25"
"149","Havard","RESOLVING THE ROLE OF NICOTINE-MEDIATED PHOSPHORYLATION ON PANCREATIC FIBROSIS","NIDDK",8735012,"5K01DK098285-02",5,"K01","DK",98285,2,"",NA,9816253,"PAULO, JOAO A","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,127831,NA,"72"
"150","Havard","MAPPING PROGRANULIN'S BIOACTIVITY: IMPLICATIONS FOR DISEASE AND POTENTIAL THERAPI","NIA",8791566,"1K99AG047339-01A1",1,"K99","AG",47339,1,"A1",NA,10744760,"NGUYEN, ANDREW ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,128412,NA,"3"
"151","Havard","RACE/ETHNICITY AND MAMMOGRAPHIC DENSITY: GENETIC AND LIFESTYLE FACTORS","NCI",8754010,"1K01CA188075-01",1,"K01","CA",188075,1,"",NA,8735819,"WARNER, ERICA T","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,129546,NA,"17"
"152","Havard","THE EVOLUTIONARY AND MOLECULAR MECHANISMS UNDERLYING SPERM PERFORMANCE IN AN EMER","NICHD",8734268,"5K99HD071972-02",5,"K99","HD",71972,2,"",NA,8875706,"FISHER, HEIDI S","Not Applicable","HARVARD UNIVERSITY",NA,2014,130248,NA,"5"
"153","Havard","DIET QUALITY AND CARDIOMETABOLIC DISPARITIES AMONG LATINO ETHNIC SUBGROUPS","NHLBI",8616192,"1K01HL120951-01",1,"K01","HL",120951,1,"",NA,1950638,"MATTEI, JOSIEMER ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,131100,NA,"38"
"154","Havard","THE ECONOMIC IMPACTS OF COMMUNITY-BASED INTEGRATED HEALTH CARE SYSTEMS IN RURAL R","FIC",8722062,"5K01TW008773-06",5,"K01","TW",8773,6,"",NA,10420134,"BONDS, MATTHEW HARRISON","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,132382,NA,"14"
"155","Havard","REGULATION OF CHRONIC VIRAL INFECTION BY CO-INHIBITORY PATHWAYS","NIAID",8627534,"5R01AI081846-05",5,"R01","AI",81846,5,"",NA,1888832,"SHARPE, ARLENE H.","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,134927,NA,"129"
"156","Havard","IMMUNOTOXICITY IN HUMANS WITH LIFETIME EXPOSURE TO OCEAN PULLUTANTS","NIEHS",8707457,"5R01ES021993-03",5,"R01","ES",21993,3,"",NA,1877010,"GRANDJEAN, PHILIPPE ADAM","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,138623,NA,"87"
"157","Havard","FUNCTION OF RIM-DEPENDENT SYNAPTIC PLASTICITY IN COCAINE-INDUCED BEHAVIORS","NIDA",8636002,"5K01DA029044-06",5,"K01","DA",29044,6,"",NA,9961941,"KAESER, PASCAL SIMON","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,147472,NA,"10"
"158","Havard","AGE-ASSOCIATED CHROMATIN CHANGES IN HEMATOPOIESIS","NIA",8723024,"5K25AG037596-05",5,"K25","AG",37596,5,"",NA,10265164,"KHARCHENKO, PETER ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,149715,NA,"45"
"159","Havard","GASTRIC CANCER PREVENTION: EVALUATING U.S. RISK FACTOR TRENDS AND NEW TECHNOLOGY","NCI",8706073,"5K07CA143044-05",5,"K07","CA",143044,5,"",NA,9719450,"YEH, JENNIFER M.","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,150203,NA,"24"
"160","Havard","MEDICAL SCIENTISTS TRAINING PROGRAM","NIGMS",8879327,"3T32GM007753-36S1",3,"T32","GM",7753,36,"S1",NA,1902271,"WALENSKY, LOREN DAVID","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,150402,NA,NA
"161","Havard","THE LONGITUDINAL AGING STUDY IN INDIA","NIA",8918945,"3R01AG042778-02S1",3,"R01","AG",42778,2,"S1",NA,6687816,"BLOOM, DAVID E ","LEE, JINKOOK ","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,150490,NA,"53"
"162","Havard","MENTORING IN QUALITATIVE METHODS FOR PATIENT-ORIENTED RESEARCH ON HIV CARE","NIMH",8672673,"5K24MH090894-05",5,"K24","MH",90894,5,"",NA,1877897,"WARE, NORMA C","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,151765,NA,"33"
"163","Havard","ASSOCIATIVE LEARNING AND BRAIN STRUCTURE IN INDIVIDUALS AT RISK FOR DEMENTIA","NIA",8667382,"5K23AG034258-05",5,"K23","AG",34258,5,"",NA,9478323,"FORTIER, CATHERINE BRAWN","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,156546,NA,"16"
"164","Havard","LIABILITY THRESHOLD MODELING OF GENES AND ENVIRONMENT IN CASE-CONTROL STUDIES","NIEHS",8685259,"5R21ES020754-03",5,"R21","ES",20754,3,"",NA,8501823,"PRICE, ALKES L","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,160197,NA,"75"
"165","Havard","ROBUST APPROACHES TO THE DEVELOPMENT AND EVALUATION OF PROGNOSTIC CLASSIFIERS","NIGMS",8719125,"5R01GM079330-07",5,"R01","GM",79330,7,"",NA,7839384,"CAI, TIANXI ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,161500,NA,"101"
"166","Havard","GENETIC DETERMINANTS OF TASTE PREFERENCES AND RISK OF METABOLIC DISEASE","NIDCD",8688636,"1R03DC013373-01A1",1,"R03","DC",13373,1,"A1",NA,10398509,"CORNELIS, MARILYN C","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,161500,NA,"55"
"167","Havard","IMMUNOLOGY AND INFECTIOUS DISEASES","NIAID",8665863,"5T32AI007638-15",5,"T32","AI",7638,15,"",NA,1877980,"RUBIN, ERIC JOSEPH","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,162162,NA,NA
"168","Havard","NOVEL EM TECHNOLOGIES FOR IMAGING NEURAL NETWORK ANATOMY","NINDS",8739330,"5R21NS085320-02",5,"R21","NS",85320,2,"",NA,8837481,"LEE, WEI-CHUNG ALLEN","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,167805,NA,"5"
"169","Havard","AGING MEMORY","NIA",8733488,"5R01AG008441-23",5,"R01","AG",8441,23,"",NA,1884771,"SCHACTER, DANIEL L","Not Applicable","HARVARD UNIVERSITY",NA,2014,168699,NA,"145"
"170","Havard","NETWORK ANATOMY OF OLFACTORY PROCESSING","NIDCD",8737732,"5R03DC013622-02",5,"R03","DC",13622,2,"",NA,8837481,"LEE, WEI-CHUNG ALLEN","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,168899,NA,"5"
"171","Havard","JOINT INTERDISCIPLINARY TRAINING PROGRAM IN BIOSTATISTICS & COMPUTATIONAL BIOLOGY","NIGMS",8687667,"5T32GM074897-10",5,"T32","GM",74897,10,"",NA,7043086,"LIN, XIHONG  ","QUACKENBUSH, JOHN ","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,169506,NA,"111"
"172","Havard","PROSPECTIVE STUDY OF BIOMARKERS AND RISK FACTORS FOR ALS INCIDENCE AND PROGRESSIO","NINDS",8762378,"3R01NS045893-09S1",3,"R01","NS",45893,9,"S1",NA,1899271,"ASCHERIO, ALBERTO ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,170869,NA,"180"
"173","Havard","DYNAMICS OF SIGNALING PATHWAYS: MECHANISM AND FUNCTION","NIGMS",8843578,"3R01GM083303-07S1",3,"R01","GM",83303,7,"S1",NA,8477044,"LAHAV, GALIT ","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,171275,NA,"36"
"174","Havard","LONG-TERM TRENDS IN BREAST CANCER TUMOR PROFILES & DISPARITIES","NCI",8636410,"5R21CA166115-02",5,"R21","CA",166115,2,"",NA,1962499,"KRIEGER, NANCY ","Not Applicable","HARVARD SCHOOL OF PUBLIC HEALTH",NA,2014,172925,NA,"105"
"175","Havard","BEHAVIORAL ECONOMICS AND IMPROVING CHEMOTHERAPY DECISIONS FOR ADVANCED CANCER","NCI",8765356,"1K24CA181510-01A1",1,"K24","CA",181510,1,"A1",NA,2087176,"KEATING, NANCY L","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,176432,NA,"171"
"176","Havard","RESEARCH TRAINING IN VISUAL NEUROSCIENCE","NEI",8664195,"2T32EY007110-26",2,"T32","EY",7110,26,"",NA,1867892,"BORN, RICHARD T","Not Applicable","HARVARD MEDICAL SCHOOL",NA,2014,178084,NA,"27"
